Country,Year_1,Month_1,type,Event Category,EventDescription
Lithuania,2015,December,Precursor,Media bias,"Former President Dalia Grybauskaite was found to have requested positive coverage from media corporations owned by MG Baltic, a prominent regional conglomerate."
Lithuania,2015,December,Resistance,Increase in media protections/media liberalization,"In order to prevent abuses against journalists, President Dalia Grybauskaite signed an amendment to the Law on Provision of Information to the Public forbidding prosecutorial procedures with the potential of infringing upon press freedom unless the case is of vital importance to the public interest."
Lithuania,2016,June,Resistance,Increase in media protections/media liberalization,The parliament repealed two laws that made insulting public servants a criminal offence
Lithuania,2016,September,Precursor,Vertical corruption,"The leader of the Liberal Party and member of Parliament Eligijus Masiulis resigned after a raid found ㈡106,000 hidden in a vault in his home, originating from a deal with MG Baltic, one of the largest business conglomerates in the country. MG Baltic allegedly gave Masiulis the money in exchange for favorable policies and votes."
Lithuania,2016,October,Precursor,Extremist/populist parties,"In the 2016 elections, the populist Lithuanian Farmers and Greens Union (LFGU), which had organized around anti-establishment rhetoric and against corrupt politicians, unexpectedly won a plurality of seats in parliament.

"
Lithuania,2016,Unknown,Precursor,Vertical corruption,Labor Party politician Vytautas Gap?ys was also charged with accepting money from business group MG Baltics in exchange for political favors
Lithuania,2016,Unknown,Precursor,Electoral fraud and voter suppression,MP Kestas Komiskis and the Order and Justice Party was found guilty of vote-buying during the 2016 parliamentary election to support his re-election campaign
Lithuania,2016,Unknown,Resistance,Check on central power by civil service,The Central Election Commission disqualified Kestas Komiskis from the parliamentary election after he was charged with vote-buying
Lithuania,2017,January,Symptom,Media repression,"Members of Parliament unanimously voted to amend the Civil Code to limit the right to criticize public figures, removing the safeguard that protects journalists from litigation if they unknowingly report false information."
Lithuania,2017,January,Precursor,Vertical corruption,"In January, the MP Greta Kildisiene resigned after being caught driving a car that belonged to Agrokoncernas, agricultural companies that were owned by the party leader"
Lithuania,2017,March,Precursor,Vertical corruption,"In March, it was found that former MP Mindaugas Bastys took meetings with the Russian energy company Rosatom, which meant that he had violated his oath of office"
Lithuania,2017,July,Resistance,Increase in media protections/media liberalization,"The order of private accusation, which allowed defamation suits to go to court without the presence of evidence after a pretrial investigation, was repealed, and the status of the defendant was changed to 'suspect' from 'accused' which allows more protections for journalists accused of defamation."
Lithuania,2017,September,Precursor,Vertical corruption,"Members of major political parties, including Eligius Masiulis, former minister of transportation and the leader of the Lithuanian Liberals, were accused of being bribed by MG Baltic, one of the biggest business groups in the country"
Lithuania,2017,December,Resistance,Increase in media protections/media liberalization,"President Dalia Grybauskaite vetoed a law that would have limited citizens’ rights to publicly criticize state officials. As a result of the veto, the law was withdrawn and never went into force."
Lithuania,2017,Unknown,Precursor,Lack of legitimacy,A 2017 Eurobarometer survey found that 93% of Lithuanians believed that corruption is widespread in the government
Lithuania,2017,Unknown,Precursor,Vertical corruption,Two other senior politicians from the Lithuanians Liberals were charged with accepting bribes from business group MG Baltics
Lithuania,2017,Unknown,Symptom,Discrimination against minorities,The houses of parliament amended the Lithuanian Civil Code to declare that marriage is defined between a man and a woman.
Lithuania,2018,April,Resistance,State attempts to prevent backsliding,"The government proposed amendments to the Public Prosecutor’s Office law to give prosecutors investigating political corruption ""special powers and immunity"""
Lithuania,2018,August,Precursor,Horizontal corruption,"Farmers and Greens Union Party Chairman Ramunas Karbauskis, the owner of agricultural conglomerate Agrokoncernas, bypassed legal restraints on how much land he can own by dividing the land among family members to operate as subsidiaries"
Lithuania,2018,October,Symptom,Media repression,The prime minister refused to let journalists access recordings made during a government meeting on whether to restore open access to Centre of Registries documents and later destroyed these recordings.
Lithuania,2018,October,Symptom,Media repression,"Public registries were put behind a paywall which reduced journalist access, and the Prime Minister reportedly called journalists 'dung beetles' as a reason for not allowing them access to the information."
Lithuania,2018,Unknown,Resistance,Nonviolent protest,Hundreds of citizens protested against the government's decision to end open access to documents held at the Centre of Registries
Lithuania,2019,January,Precursor,Vertical corruption,"Three executives of French engineering firm Alstom were convicted for bribing senior politicians, as well as officials in Lithuania's power station, Elektrenai. They paid around five million euros to win two contracts worth 240 million euros."
Lithuania,2019,May,Resistance,Check on executive by judiciary,"The Constitutional Court ruled that the parliamentary investigation, led by the Lithuanian Farmers and Greens Union, of the public broadcaster Lithuanian National Radio and Television violated freedom of speech."
Lithuania,2019,May,Resistance,Increase in media protections/media liberalization,"The Constitutional Court ruled that the parliamentary investigation, led by the Lithuanian Farmers and Greens Union, of the public broadcaster Lithuanian Public Radio and Television violated freedom of speech."
